Code,Title,id
HAB.LL.AA,Plication of right atrium,43
HAD,Interventions on atrial septum,44
HAD.FA.AA,Incision of atrial septum,45
HAD.JJ.AA,Atrial septectomy,46
HAD.LG.AF,Percutaneous transluminal dilatation of interatrial communication,47
HAD.LH.AF,Percutaneous transluminal dilatation with insertion of device into interatrial communication,48
HAD.LL.AA,Partial closure of interatrial communication,49
HAD.MK.AA,Repair of interatrial communication,50
HAD.MK.AB,Thoracoscopic repair of interatrial communication,51
HAD.ML.AA,Closure of interatrial communication with patch or device,52
HAD.ML.AF,Percutaneous transluminal closure of interatrial communication with device,53
HAM,"Interventions on complex congenital heart malformation, atrium",54
HAM.MK.AA,Repair of divided left atrium,55
HAM.ML.AA,Sinus venosus defect closure,56
HAM.ML.AF,Sinus venosus defect closure with transluminal device,57
HAZ,"Interventions on atrium, unspecified",58
HAZ.FA.AA,"Incision of atrium, not elsewhere classified",59
HAZ.JE.AA,Thrombectomy from atrium,60
HAZ.JE.AB,Thoracoscopic thrombectomy from atrium,61
HAZ.JE.AF,Endovascular thrombectomy from atrium,62
HAZ.LI.AA,Atrial baffle procedure,63
HAZ.ML.AA,Septation of common atrium without a common atrioventricular junction,64
HBA,"Interventions on heart, ventricle",65
HBA,Interventions on left cardiac ventricle,66
HBA.AD.AF,Percutaneous transluminal left ventricular biopsy,67
HBA.BA.BB,Left ventriculography,68
HBA.DN.AA,Implantation of left ventricular assist device,69
HBA.DN.AF,Percutaneous transluminal implantation of left ventricular assist device,70
HBA.JD.AA,Removal of left ventricular assist device,71
HBA.JI.AA,Local excision of left ventricular outflow tract tissue,72
HBA.JJ.AA,Excision of left ventricular tissue,73
HBA.LI.AA,Creation of conduit between left ventricle and aorta,74
HBA.LL.AA,Surgical left ventricular reduction,75
HBA.MK.AA,Repair of left ventricular aneurysm,76
HBA.ML.AA,Reconstruction of left ventricle,77
HBB,Interventions on right cardiac ventricle,78
HBB.AD.AF,Percutaneous transluminal right ventricular biopsy,79
HBB.BA.BB,Right ventriculography,80
HBB.DN.AA,Implantation of right ventricular assist device,81
HBB.DN.AF,Percutaneous transluminal implantation of right ventricular assist device,82
HBB.FB.AA,Division of right ventricular trabecular muscle,83
HBB.JD.AA,Removal of right ventricular assist device,84
HBB.JI.AA,Local excision of right ventricular outflow tract tissue,85
HBB.JJ.AA,Excision of right ventricular tissue,86
HBB.KA.AA,Replacement of conduit between right ventricle and pulmonary artery,87
HBB.LG.AF,Percutaneous transluminal balloon dilatation of right ventricular outflow tract,88
HBB.LH.AF,Percutaneous transluminal dilatation with insertion of device into right ventricular outflow tract,89
HBB.LI.AA,Creation of conduit between right ventricle and pulmonary arterial tree,90
HBB.MK.AA,Repair of right ventricular aneurysm,91
HBB.ML.AA,Reconstruction of right ventricle,92
HBD,Interventions on ventricular septum,93
HBD.LI.AA,Double outlet right ventricle repair with intraventricular tunnel,94
HBD.LI.AF,Percutaneous transluminal interventricular communication creation,95
HBD.LK.AA,Enlargement of ventricular septal defect,96
HBD.MK.AA,Repair of ventricular septal defect,97
HBD.ML.AA,Repair of ventricular septal defect with patch or device,98
HBD.ML.AF,Percutaneous transluminal repair of ventricular septal defect with patch or device,99
HBD.ML.AK,"Transparietal device closure of ventricular septal defect, hybrid approach",100
HBZ,"Interventions on heart ventricle, unspecified",101
HBZ.DN.AA,Implantation of biventricular assist device,102
HBZ.FA.AA,Incision of ventricle,103
HBZ.JD.AA,Removal of biventricular assist device,104
HBZ.MA.AA,Ventricular septation procedure,105
HBZ.SN.AA,Management of ventricular assist device,106
HDE,Interventions on heart valves,107
HDE,Interventions on aortic valve,108
HDE.DN.AA,Replacement of aortic valve,109
HDE.DN.AE,Percutaneous transcatheter aortic valve replacement,110
HDE.DN.AF,Percutaneous transluminal transcatheter aortic valve replacement,111
HDE.JI.AA,Local excision of subaortic fibromuscular shelf,112
HDE.KA.AA,Implantation of prosthetic valve in replaced aortic valve,113
HDE.KA.AF,Transluminal implantation of prosthetic valve in replaced aortic valve,114
HDE.LG.AA,Dilatation of aortic valve by transventricular approach,115
HDE.LG.AF,Percutaneous transluminal balloon dilatation of aortic valve,116
HDE.MK.AA,Repair of aortic valve,117
HDE.ML.AA,Reconstruction of aortic valve,118
HDF,Interventions on mitral valve,119
HDF,Implantation of internal device into mitral valve,120
HDF.DN.AA,Replacement of mitral valve,121
HDF.DN.AB,Thoracoscopic mitral valve replacement,122
HDF.DN.AE,Percutaneous transcatheter mitral valve replacement,123
HDF.DN.AF,Percutaneous transluminal transcatheter mitral valve replacement,124
HDF.FB.AA,Division of mitral subvalvar apparatus,125
HDF.JJ.AA,Excision of supravalvar mitral ring,126
HDF.KA.AA,Implantation of prosthetic valve in replaced mitral valve,127
HDF.KA.AF,Transluminal implantation of prosthetic valve in replaced mitral valve,128
HDF.LB.AA,Reattachment procedure for mitral valve or subvalvar apparatus,129
HDF.LG.AA,Closed mitral valvotomy,130
HDF.LG.AF,Percutaneous transluminal balloon dilatation of mitral valve,131
HDF.MK.AA,Repair of mitral valve or subvalvar apparatus,132
HDF.MK.AB,Thoracoscopic repair of mitral valve or subvalvar apparatus,133
HDF.ML.AA,Reconstruction of mitral valve or subvalvar apparatus,134
HDF.ML.AB,Thoracoscopic reconstruction of mitral valve,135
HDF.ML.AF,Percutaneous transluminal reconstruction of mitral valve,136
HDG,Interventions on pulmonary valve,137
HDG.DN.AA,Replacement of pulmonary valve,138
HDG.DN.AF,Percutaneous transluminal transcatheter pulmonary valve replacement,139
HDG.KA.AA,Implantation of prosthetic valve in replaced pulmonary valve,140
HDG.KA.AF,Transluminal implantation of prosthetic valve in replaced pulmonary valve,141
HDG.LA.AA,Pulmonary valve closure-oversewing,142
HDG.LG.AA,Closed pulmonary valvotomy,143
HDG.LG.AF,Percutaneous transluminal balloon dilatation of pulmonary valve,144
HDG.LH.AF,Percutaneous transluminal dilatation with insertion of device in pulmonary valve,145
HDG.MK.AA,Repair of pulmonary valve,146
HDG.MK.AF,Percutaneous transluminal repair of pulmonary valve,147
HDG.ML.AA,Reconstruction of pulmonary valve,148
HDH,Interventions on tricuspid valve,149
HDH.DN.AA,Replacement of tricuspid valve,150
HDH.DN.AF,Percutaneous transluminal transcatheter replacement of tricuspid valve,151
HDH.KA.AA,Implantation of prosthetic valve in replaced tricuspid valve,152
HDH.KA.AF,Transluminal implantation of prosthetic valve in replaced tricuspid valve,153
HDH.LA.AA,Tricuspid valve closure-oversewing,154
HDH.LB.AA,Reattachment procedure for tricuspid valve or subvalvar apparatus,155
HDH.LG.AA,Dilatation of tricuspid valve by transventricular approach,156
HDH.LG.AF,Percutaneous transluminal balloon dilatation of tricuspid valve,157
HDH.MK.AA,Repair of tricuspid valve or subvalvar apparatus,158
HDH.ML.AA,Reconstruction of tricuspid valve or subvalvar apparatus,159
HDH.ML.AF,Percutaneous transluminal reconstruction of tricuspid valve,160
HDI,Interventions on truncal valve,161
HDI.DN.AA,Replacement of truncal valve,162
HDI.LG.AF,Percutaneous transluminal balloon dilatation of truncal valve,163
HDI.MK.AA,Repair of truncal valve,164
HDI.ML.AA,Reconstruction of truncal valve,165
HDM,Interventions on congenitally malformed atrioventricular valve,166
HDM.DN.AA,Replacement of congenitally malformed atrioventricular valve,167
HDM.FB.AA,Division of congenitally malformed atrioventricular subvalvar apparatus,168
HDM.KA.AA,Implantation of prosthetic valve in replaced congenitally malformed atrioventricular valve,169
HDM.KA.AF,Transluminal implantation of prosthetic valve in replaced congenitally malformed atrioventricular valve,170
HDM.LB.AA,Reattachment of congenitally malformed atrioventricular subvalvar apparatus,171
HDM.LG.AF,Percutaneous transluminal dilatation of congenitally malformed atrioventricular valve,172
HDM.MK.AA,Repair of congenitally malformed atrioventricular valve,173
HDM.ML.AA,Reconstruction of congenitally malformed atrioventricular valve,174
HFA,"Interventions on endocardium, pericardium, myocardium",175
HFA,Interventions on endocardium,176
HFA.FA.AA,Incision of endocardium,177
HFB,Interventions in atrioventricular septum,178
HFB.MK.AA,Repair of atrioventricular septal defect,179
HFB.ML.AA,Repair of atrioventricular septal defect with patch,180
HFC,Interventions on conducting system of heart,181
HFC.AF.AF,Electrophysiological study of heart,182
HFC.AI.AH,Cardiac electrophysiological monitoring,183
HFC.DL.AA,Insertion of temporary epicardial pacemaker system,184
HFC.DL.AF,Percutaneous transluminal endocardial insertion of temporary pacemaker system,185
HFC.DN.AA,Implantation of permanent epicardial pacemaker or defibrillator system,186
HFC.DN.AE,Percutaneous implantation of endocardial leadless pacemaker,187
HFC.DN.AF,Percutaneous transluminal implantation of permanent endocardial pacemaker or defibrillator system,188
HFC.GA.AA,Ablation of cardiac conduction system,189
HFC.GA.AB,Thoracoscopic Maze procedure,190
HFC.GA.AF,Percutaneous transluminal ablation of cardiac conduction system,191
HFC.JD.AA,Removal of pacemaker or defibrillator system,192
HFC.JD.AF,Percutaneous transluminal removal of pacemaker or defibrillator system,193
HFC.KA.AA,Replacement of pacemaker or defibrillator system,194
HFC.KA.AF,Percutaneous transluminal replacement of pacemaker or defibrillator system,195
HFC.SC.AH,Conversion of cardiac arrhythmia,196
HFC.SN.AA,Management of pacemaker or defibrillator system,197
HFC.SN.AF,Percutaneous transluminal management of pacemaker or defibrillator system,198
HFC.SN.AH,Pacemaker or cardioverter defibrillator function check,199
HFD,Interventions on myocardium,200
HFD.AD.AA,Biopsy of myocardium,201
HFD.AD.AF,Percutaneous transluminal biopsy of myocardium,202
HFD.BA.BF,Single photon emission computerised tomography of myocardium,203
HFD.BA.BG,Positron emission computerised tomography of myocardium,204
HFD.FA.AA,Transmyocardial revascularisation,205
HFD.FA.AB,Thoracoscopic transmyocardial revascularisation,206
HFD.FA.AF,Percutaneous transmyocardial revascularisation,207
HFF,Interventions on pericardium,208
HFF.AD.AE,Percutaneous biopsy of pericardium,209
HFF.DB.AE,Injection into the pericardium,210
HFF.FA.AA,Pericardiotomy,211
HFF.FC.AA,Release of adhesions of pericardium,212
HFF.JB.AE,Pericardiocentesis,213
HFF.JI.AA,Local excision of lesion of pericardium,214
HFF.JJ.AA,Partial pericardiectomy,215
HFF.JJ.AB,Thoracoscopic partial pericardiectomy,216
HFF.JK.AA,Total pericardiectomy,217
HFF.JK.AB,Thoracoscopic total pericardiectomy,218
HFF.MK.AA,Repair of pericardium,219
HIA,Interventions on coronary arteries or great vessels,220
HIA,Interventions on coronary arteries,221
HIA.AB.AF,Intravascular pressure measurement of coronary arteries,222
HIA.BA.AF,Intravascular imaging of coronary vessels,223
HIA.BA.BB,Coronary angiography,224
HIA.DB.AF,Thrombolysis of coronary artery,225
HIA.FA.AA,Incision of coronary artery,226
HIA.JE.AA,Endarterectomy of coronary artery,227
HIA.JE.AF,Endovascular extraction of obstruction from coronary artery,228
HIA.LA.AF,Endovascular embolisation or occlusion of coronary artery,229
HIA.LG.AF,Percutaneous transluminal coronary angioplasty,230
HIA.LH.AF,Percutaneous transluminal coronary angioplasty with insertion of stent,231
HIA.LI.AA,Coronary artery bypass,232
HIA.LI.AB,Totally endoscopic coronary artery bypass,233
HIA.LI.AE,Minimally invasive direct coronary artery bypass graft,234
HIA.MK.AA,Repair of coronary artery,235
HIA.ML.AA,Reconstruction of coronary artery,236
HIB,Interventions on superior vena cava,237
HIB.AB.AF,Intravascular pressure measurement of the superior vena cava,238
HIB,Imaging of superior vena cava,239
HIB.BA.AF,Intravascular ultrasound of the superior vena cava,240
HIB.BA.BB,Angiography of superior vena cava,241
HIB.BA.BC,"CT angiography of superior vena cava, not elsewhere classified",242
HIB.BA.BD,CT angiography of superior vena cava with intravenous contrast medium,243
HIB.DL.AA,Insertion of filter in superior vena cava,244
HIB.DL.AF,Percutaneous transluminal insertion of device into superior vena cava,245
HIB.FA.AA,Incision of superior vena cava,246
HIB.JD.AF,Percutaneous transluminal removal of internal device or foreign body from superior vena cava,247
HIB.JE.AA,Extraction of obstruction of superior vena cava,248
HIB.JJ.AA,Partial excision of superior vena cava,249
HIB.LA.AA,Occlusion of superior vena cava,250
HIB.LA.AF,Endovascular occlusion of superior vena cava,251
HIB.LB.AA,Reimplantation of superior vena cava,252
HIB.LG.AF,Percutaneous transluminal balloon dilatation of superior vena cava,253
HIB.LH.AF,Percutaneous transluminal dilatation with insertion of stent into superior vena cava,254
HIB.LI.AA,Creation of cavopulmonary shunt,255
HIB.LL.AA,Plication of superior vena cava,256
HIB.MK.AA,Repair of superior vena cava,257
HIB.ML.AA,Reconstruction of superior vena cava,258
HIC,Interventions on inferior vena cava,259
HIC.AB.AF,Intravascular pressure measurement of the inferior vena cava,260
HIC,Imaging of inferior vena cava,261
HIC.BA.AF,Intravascular ultrasound of the inferior vena cava,262
HIC.BA.BB,Angiography of inferior vena cava,263
HIC.BA.BC,"CT angiography of inferior vena cava, not elsewhere classified",264
HIC.BA.BD,CT angiography of inferior vena cava with intravenous contrast medium,265
HIC.DL.AF,Percutaneous transluminal insertion of device in inferior vena cava,266
HIC.FA.AA,Incision of inferior vena cava,267
HIC.JD.AF,Percutaneous transluminal removal of internal device or foreign body from inferior vena cava,268
HIC.JE.AA,Extraction of obstruction of inferior vena cava,269
HIC.JJ.AA,Partial excision of inferior vena cava,270
HIC.LA.AA,Occlusion of inferior vena cava,271
HIC.LG.AF,Percutaneous transluminal balloon dilatation of inferior vena cava,272
HIC.LH.AF,Percutaneous transluminal dilatation with insertion of stent into inferior vena cava,273
HIC.LI.AA,Total cavopulmonary connection completion,274
HIC.LL.AA,Plication of inferior vena cava,275
HIC.MK.AA,Repair of inferior vena cava,276
HIC.ML.AA,Reconstruction of inferior vena cava,277
HID,Interventions on pulmonary artery,278
HID,Imaging of pulmonary artery,279
HID.BA.BB,Angiography of pulmonary artery,280
HID.BA.BC,"CT angiography of pulmonary artery, not elsewhere classified",281
HID.BA.BD,CT angiography of pulmonary artery with intravenous contrast medium,282
HID.BA.BJ,Ultrasound of pulmonary artery,283
HID.DB.AF,Thrombolysis of pulmonary artery,284
HID.FC.AA,Debanding of pulmonary artery,285
HID.JE.AA,Pulmonary thromboembolectomy,286
HID.JE.AF,Endovascular extraction of obstruction from pulmonary artery,287
HID.JJ.AA,Partial excision of pulmonary artery,288
HID.LA.AA,Occlusion of pulmonary artery,289
HID.LA.AF,Endovascular embolisation or occlusion of pulmonary artery,290
HID.LB.AA,Pulmonary artery origin from ascending aorta repair,291
HID.LG.AF,Percutaneous transluminal balloon dilatation of pulmonary arterial tree,292
HID.LH.AF,Percutaneous transluminal dilatation with insertion of stent into pulmonary arterial tree,293
HID.LI.AA,Systemic to pulmonary arterial shunt,294
HID.LJ.AA,Transfer of pulmonary artery,295
HID.LL.AA,Banding of pulmonary artery,296
HID.ML.AA,Reconstruction of pulmonary artery,297
HIE,Interventions on pulmonary vein,298
HIE.BA.BB,Angiography of pulmonary veins,299
HIE.GA.AA,Pulmonary vein isolation with open ablation,300
HIE.GA.AF,Percutaneous transluminal pulmonary vein isolation,301
HIE.JE.AA,Thrombectomy of pulmonary vein,302
HIE.JJ.AA,Partial excision of pulmonary vein,303
HIE.LA.AA,Occlusion of pulmonary vein,304
HIE.LA.AF,Endovascular occlusion of pulmonary vein,305
HIE.LB.AA,Total anomalous pulmonary venous connection repair,306
HIE.LG.AF,Percutaneous transluminal balloon dilatation of pulmonary vein,307
HIE.LH.AF,Percutaneous transluminal dilatation with stent placement into pulmonary vein,308
HIE.LI.AA,Partial anomalous pulmonary venous connection repair,309
HIE.MK.AA,Repair of pulmonary vein,310
HIE.ML.AA,Reconstruction of the pulmonary vein,311
HIF,Intervention on ascending aorta,312
HIF.AE.AA,Exploration of ascending aorta,313
HIF.AE.AF,Angioscopy of ascending aorta,314
HIF.BA.BB,Ascending aortography with contrast medium,315
HIF.JJ.AA,Partial excision of ascending aorta,316
HIF.LA.AA,Partial occlusion of ascending aorta,317
HIF.LH.AF,Percutaneous transluminal dilatation with insertion of stent into ascending aorta,318
HIF.ML.AA,Reconstruction of ascending aorta,319
HIG,Interventions on thoracic descending aorta,320
HIG.AB.AF,Intravascular pressure measurement of descending thoracic aorta,321
HIG.AE.AA,Exploration of descending thoracic aorta,322
HIG.AE.AF,Angioscopy of descending thoracic aorta,323
HIG.BA.AF,Intravascular imaging of the descending thoracic aorta,324
HIG.BA.BB,Descending thoracic aortography with contrast medium,325
HIG.DL.AF,Percutaneous transluminal insertion of device into descending thoracic aorta,326
HIG.FA.AA,Incision of descending thoracic aorta,327
HIG.JE.AA,Endarterectomy of descending thoracic aorta,328
HIG.JJ.AA,Partial excision of descending thoracic aorta,329
HIG.LA.AA,Partial occlusion of descending thoracic aorta,330
HIG.LG.AF,Percutaneous transluminal dilatation of descending thoracic aorta,331
HIG.LH.AF,Percutaneous transluminal dilatation with insertion of stent into descending thoracic aorta,332
HIG.LI.AA,Descending thoracic aorta bypass,333
HIG.ML.AA,Reconstruction of descending thoracic aorta,334
HIH,Interventions on abdominal aorta,335
HIH.AB.AF,Intravascular pressure measurement of abdominal aorta,336
HIH.AE.AA,Exploration of abdominal aorta,337
HIH.AE.AF,Angioscopy of abdominal aorta,338
HIH,Imaging of abdominal aorta,339
HIH.BA.AF,Intravascular imaging of the abdominal aorta,340
HIH.BA.BB,Angiography of the abdominal aorta with contrast medium,341
HIH.BA.BC,"CT angiography of abdominal aorta, not elsewhere classified",342
HIH.BA.BD,CT angiography of abdominal aorta with intravenous contrast medium,343
HIH.DL.AF,Percutaneous transluminal insertion of device into abdominal aorta,344
HIH.JE.AA,Endarterectomy of abdominal aorta,345
HIH.JJ.AA,Partial excision of abdominal aorta,346
HIH.LA.AA,Partial occlusion of abdominal aorta,347
HIH.LA.AF,Percutaneous transluminal occlusion of aorta,348
HIH.LG.AF,Percutaneous transluminal balloon dilatation of abdominal aorta,349
HIH.LH.AF,Percutaneous transluminal dilatation with insertion of stent into abdominal aorta,350
HIH.LI.AA,Abdominal aortic bypass,351
HIH.ML.AA,Reconstruction of abdominal aorta,352
HIH.ML.AB,Laparoscopic reconstruction of abdominal aorta,353
HIJ,Interventions on ductus arteriosus,354
HIJ.DB.AC,Oral pharmacotherapy for ductus arteriosus,355
HIJ.DB.AF,Intravenous pharmacotherapy for ductus arteriosus,356
HIJ.LA.AA,Occlusion of ductus arteriosus,357
HIJ.LA.AB,Thoracoscopic closure of arterial duct,358
HIJ.LA.AF,Percutaneous transluminal arterial duct closure with transluminal device,359
HIJ.LH.AF,Percutaneous transluminal dilatation with insertion of device into ductus arteriosus,360
HIK,Interventions on aortic arch,361
HIK.AB.AF,Intravascular pressure measurement of aortic arch,362
HIK.AE.AA,Exploration of aortic arch,363
HIK.AE.AF,Angioscopy of aortic arch,364
HIK,Imaging interventions on aortic arch,365
HIK.BA.AF,Intravascular imaging of the aortic arch,366
HIK.BA.BB,Angiography of the aortic arch with contrast medium,367
HIK.BA.BJ,Ultrasound of the aortic arch,368
HIK.FB.AA,Division of double aortic arch,369
HIK.FC.AA,Release of vascular ring,370
HIK.JJ.AA,Repair of coarctation of aortic arch,371
HIK.LG.AF,Percutaneous transluminal dilatation of aortic arch,372
HIK.LH.AF,Percutaneous transluminal dilatation with insertion of stent into aortic arch,373
HIK.LJ.AA,Aortopexy,374
HIK.MK.AA,Repair of aortic arch,375
HIK.ML.AA,Reconstruction of aortic arch,376
HIL,Interventions on aortic root,377
HIL.DL.AA,Personalised external aortic root support procedure,378
HIL.LA.AA,Partial occlusion of aortic root,379
HIL.LA.AF,Percutaneous transluminal partial occlusion of aortic root,380
HIL.MK.AA,Repair of aortic root,381
HIL.ML.AA,Reconstruction of aortic root,382
HIM,"Interventions on complex congenital heart malformation, coronary artery",383
HIM.FC.AA,Release of congenital malformation of coronary artery,384
HIM.LA.AA,Occlusion of congenital malformation of coronary artery,385
HIM.LA.AF,Endovascular embolisation or occlusion of congenital malformation of coronary artery,386
HIM.LB.AA,Reimplantation of anomalous origin of coronary artery,387
HIM.MK.AA,Repair of anomalous aortic origin of coronary artery,388
HIN,"Interventions on complex congenital heart malformation, great vessel",389
HIN.LG.AF,Percutaneous transluminal dilatation of systemic-to-pulmonary arterial shunt,390
HIN.LH.AF,Percutaneous transluminal dilatation with insertion of stent into systemic-to-pulmonary arterial shunt,391
HIN.LI.AA,Pulmonary trunk to aorta end-to-side anastomosis,392
HIN.LJ.AA,Arterial switch operation,393
HIN.MK.AA,Closure of aortopulmonary window,394
HIN.MK.AF,Percutaneous transluminal closure of aortopulmonary window,395
HIN.ML.AA,Reconstruction of congenital great vessel malformation,396
HT2,Interventions on functions of heart or cardiovascular system,397
HT2,Interventions on functions of cardiovascular system,398
HT2.AA.ZZ,"Assessment of cardiovascular function, not elsewhere classified",399
HT2.AB.AH,"Other nonoperative cardiac and vascular measurements, not elsewhere classified",400
HT2.AC.ZZ,"Test of functions of the cardiovascular system, not elsewhere classified",401
HT2.AM.ZZ,"Observation of functions of the cardiovascular system, not elsewhere classified",402
HT2.MC.AH,Cardiopulmonary resuscitation,403
HT2.PG.ZZ,"Assisting and leading exercise for functions of the cardiovascular system, not elsewhere classified",404
HT2.PH.ZZ,"Training of functions of the cardiovascular system, not elsewhere classified",405
HT2.PM.ZZ,"Education about functions of the cardiovascular system, not elsewhere classified",406
HT2.PN.ZZ,"Advising about functions of the cardiovascular system, not elsewhere classified",407
HT2.PP.ZZ,"Counselling for functions of the cardiovascular system, not elsewhere classified",408
HT2.RB.ZZ,"Practical support with functions of the cardiovascular system, not elsewhere classified",409
HT2.RC.ZZ,"Emotional support for functions of the cardiovascular system, not elsewhere classified",410
HTB,"Interventions on functions of heart, not elsewhere classified",411
HTB.AA.ZZ,"Assessment of heart functions, not elsewhere classified",412
HTB.AC.AH,"Electrocardiogram, not elsewhere classified",413
HTB.AE.ZZ,"Examination of heart functions, not elsewhere classified",414
HTB.BA.BE,"Cardiac output scan, not elsewhere classified",415
HTB.MC.AH,Closed chest cardiac massage,416
HTC,Interventions on functions involved in supplying blood to the heart,417
HTC.BA.BE,Myocardial perfusion scan,418
HTM,Interventions on exercise tolerance functions,419
HTM.AA.ZZ,Assessment of exercise tolerance functions,420
HTM.AB.ZZ,Measurement of exercise tolerance functions,421
HTM.AC.ZZ,Test of exercise tolerance functions,422
HTM.AF.AH,Exercise electrocardiogram,423
HTM.PG.ZZ,Assisting and leading exercise for exercise tolerance function,424
HTM.PH.ZZ,Training of exercise tolerance functions,425
HTM.PM.ZZ,Education about exercise tolerance,426
HTM.PN.ZZ,Advising about exercise tolerance functions,427
HTM.RC.ZZ,Emotional support for exercise tolerance functions,428
HZA,"Interventions on heart, not elsewhere classified",429
HZA,"Interventions on left heart, not elsewhere classified",430
HZA.AB.AF,Left heart cardiac catheterisation,431
HZA.BA.BB,Angiocardiography of left heart structures,432
HZA.LI.AA,Repair of double outlet left ventricle,433
HZA.ML.AA,"Reconstruction of complex left heart malformations, not elsewhere classified",434
HZB,"Interventions on right heart, not elsewhere classified",435
HZB.AB.AF,Right heart cardiac catheterisation,436
HZB.BA.BB,Angiocardiography of right heart structures,437
HZB.ML.AA,Repair of Tetralogy of Fallot,438
HZM,"Interventions on unspecified complex congenital heart malformation, unspecified",439
HZM.LI.AA,Common arterial trunk repair,440
HZM.ML.AA,"Reconstruction of complex congenital heart malformations, not elsewhere classified",441
HZZ,"Interventions on entire heart or great vessel, unspecified",442
HZZ.AA.ZZ,"Assessment of entire heart, heart or great vessel, not elsewhere classified",443
HZZ.AB.AF,Combined right and left heart cardiac catheterisation,444
HZZ.AI.AH,Phonocardiogram,445
HZZ,"Imaging on entire heart or great vessel, unspecified",446
HZZ.BA.AC,Transoesophageal echocardiography,447
HZZ.BA.AF,Intracardiac echocardiography,448
HZZ.BA.BB,Combined right and left heart angiocardiography,449
HZZ.BA.BC,"Computerised tomography of heart, not elsewhere classified",450
HZZ.BA.BD,Computerised tomography of heart with intravenous contrast medium,451
HZZ.BA.BH,"Magnetic resonance imaging of heart, not elsewhere classified",452
HZZ.BA.BI,Magnetic resonance imaging of heart with intravenous contrast medium,453
HZZ.BA.BJ,Echocardiography,454
HZZ.DB.AE,Injection into heart,455
HZZ.DN.AA,"Implantation of cardiac assist device, not elsewhere classified",456
HZZ.DN.AF,"Implantation of cardiac assist device, percutaneous transluminal",457
HZZ.FA.AA,Cardiotomy,458
HZZ.FC.AA,"Release of cardiac adhesions, not elsewhere classified",459
HZZ,"Removal of internal device or foreign body from entire heart or great vessel, unspecified",460
HZZ.JD.AA,Removal of cardiac circuitry device,461
HZZ.JD.AE,"Percutaneous removal of internal device or foreign body from heart, not elsewhere classified",462
HZZ.JD.AF,"Percutaneous transluminal removal of internal device or foreign body from heart, not elsewhere classified",463
HZZ.JD.AH,Removal of extrinsic heart assist device,464
HZZ.JE.AA,"Extraction of cardiac vegetations, not elsewhere classified",465
HZZ.JH.AA,Procurement of heart,466
HZZ.JI.AA,"Local excision of lesion of heart, not elsewhere classified",467
HZZ.JI.AF,"Endovascular local excision of lesion of heart, not elsewhere classified",468
HZZ.KA.AE,Replacement of subcutaneous device for intracardiac or great vessel haemodynamic monitoring,469
HZZ.KD.AA,Heart transplantation,470
HZZ.LG.AF,Percutaneous transluminal dilatation of cardiac conduit,471
HZZ.LH.AF,Percutaneous transluminal dilatation with insertion of device in cardiac conduit,472
HZZ.MC.AA,Open chest cardiac massage,473
HZZ.MK.AA,"Repair of heart, not elsewhere classified",474
HZZ.ML.AA,"Reconstruction of the heart, not elsewhere classified",475
